Sample	posterior	likelihood	prior	Tree.t:Ala.CFheight	Tree.t:Ala.CFlength	Tree.t:Ala.nConv	Tree.t:Ala.nUselessConvs	Tree.t:Ala.meanEdgeLength	Tree.t:Ala.meanDepartureHeight	Tree.t:Ala.locus.Ala.meanTractLength	Tree.t:Ala.locus.Ala.meanRegionLength	Tree.t:Ala.locus.Ala.meanStartSite	Tree.t:Ala.locus.Ala.meanEndSite	Tree.t:Ala.locus.Ala.randomStartSite	Tree.t:Ala.locus.Ala.randomEndSite	rho.t:Ala	delta.t:Ala	popSize.t:Ala	gammaShape.s:Ala	mutationRate.s:Ala
67000	-5438.170810092872	-5257.254936574909	-180.91587351796306	3.053690418665287	22.151406375306205	11	4	0.4568552731177642	0.9356001807314446	95.0	52.0	0.0	94.0	0.0	103.0	3.8160559154466756E-4	1803.7743609808147	4.584410828422619	0.7449925036235447	1.0
68000	-5435.673851163598	-5259.658146345574	-176.01570481802372	4.479398503771267	21.159065949729463	13	7	1.2296079145347751	1.226711830281178	97.3076923076923	52.0	0.0	96.3076923076923	0.0	103.0	6.647400677505831E-4	1716.6704348945075	4.0061011062967005	0.7449925036235447	1.0
69000	-5704.552224694264	-5262.930118263566	-441.62210643069704	28.835543812858923	70.97785284844132	62	56	2.788806078105444	13.777474052690755	94.20967741935483	52.0	4.709677419354839	97.91935483870968	0.0	103.0	4.429124301393188E-4	1412.1217976405771	4.901043147529792	0.6068107576820435	1.0
70000	-5515.127832970122	-5267.041823865591	-248.0860091045308	14.362911639423354	42.67515457105416	19	13	2.7168825541816104	5.804104681714237	87.05263157894737	52.0	8.210526315789474	94.26315789473684	86.0	103.0	3.831211149247763E-4	1478.2157055874613	5.352047240298187	0.6068107576820435	1.0
71000	-5426.112462368027	-5271.820637511336	-154.29182485669153	4.097530116837744	22.949722228049197	6	1	0.2983841690805234	0.3928664843113198	89.5	52.0	0.0	88.5	0.0	16.0	3.6617881237142376E-4	1099.986592136271	4.218420269764331	0.6068107576820435	1.0
72000	-5436.768848554982	-5267.710973492575	-169.05787506240603	4.755539741576533	23.261013542086232	10	4	1.2049286470785225	1.400654647842629	95.3	52.0	0.0	94.3	0.0	103.0	3.604902325377502E-4	1143.4349680111288	4.4447420760118	0.6068107576820435	1.0
73000	-5440.513831759051	-5272.855530857711	-167.65830090134006	4.321332630176524	25.072630964886134	8	2	1.474604825119728	0.7933445905798499	93.125	52.0	0.0	92.125	0.0	103.0	3.2874078421740575E-4	1366.450678447936	4.770126523396553	0.6815305806887121	1.0
74000	-5507.33384357809	-5260.898963156498	-246.43488042159146	8.561265164613898	32.60658660701791	22	16	2.7626750982209614	3.3352800801181632	96.95454545454545	52.0	0.09090909090909091	96.04545454545455	0.0	103.0	2.661007935443356E-4	1320.1864532825723	4.99993936600449	0.6815305806887121	1.0
75000	-5430.252590611173	-5255.798505884824	-174.4540847263491	2.0018570210668445	19.306606332132382	7	1	0.30843305319627196	0.41548122106315544	66.14285714285714	34.666666666666664	13.571428571428571	78.71428571428571	0.0	103.0	3.2248813959042684E-4	793.2195511651472	4.9578260818081255	0.6815305806887121	1.0
76000	-5446.041952415029	-5263.141359970234	-182.90059244479565	5.469354852896056	26.12678485078399	9	3	0.8417212714780118	0.7302161251755325	91.11111111111111	34.666666666666664	3.2222222222222223	93.33333333333333	0.0	103.0	2.569723113642946E-4	1112.2285577933026	5.107473152985412	0.6815305806887121	1.0
77000	-5473.3812694671005	-5267.787320799645	-205.5939486674553	4.757323905604593	26.485431699885275	12	5	0.8937447998008968	1.102437683282606	79.91666666666667	34.666666666666664	2.25	81.16666666666667	0.0	32.0	5.360353463507326E-4	1100.1148350010137	5.660087811683049	0.6815305806887121	1.0
78000	-5523.095935039873	-5265.860567044372	-257.2353679955009	6.585264830254322	35.210272939904634	21	10	2.0054502827567484	1.821491669092018	90.38095238095238	20.8	4.095238095238095	93.47619047619048	0.0	21.0	4.139159050235048E-4	1459.804585953103	4.773081453726563	0.6815305806887121	1.0
79000	-5469.864051990733	-5269.514566291004	-200.34948569972974	7.2059560334206045	35.81859998325555	13	3	1.2600845090191901	1.6448702450818489	97.07692307692308	34.666666666666664	0.07692307692307693	96.15384615384616	1.0	103.0	3.2627804807855914E-4	1190.7162292539829	4.293113558994237	0.6815305806887121	1.0
80000	-5429.630431432682	-5273.774460486186	-155.8559709464951	2.1179482796801965	18.487062134392183	7	0	0.11753848491759229	0.26620315119843607	91.28571428571429	52.0	0.0	90.28571428571429	0.0	103.0	4.2162663515126533E-4	952.7335934984778	4.0338402164002	0.6815305806887121	1.0
81000	-5528.297806951305	-5269.224457916392	-259.07334903491255	11.991935615746963	40.59055938669759	21	14	2.176741528728782	4.40246944029157	91.19047619047619	34.666666666666664	6.9523809523809526	97.14285714285714	0.0	103.0	3.6625376880208583E-4	746.2798733732118	4.367448859990482	0.6815305806887121	1.0
